date,abbreviation_canton_and_fl,column
2021-06-08,ZG,ncumul_released
2021-06-22,NW,ncumul_conf
2021-06-29,BS,ncumul_conf
2021-06-27,ZG,ncumul_released
2021-06-30,NW,ncumul_conf
2021-07-02,ZG,ncumul_released
2021-07-05,ZG,ncumul_released
2021-08-19,ZG,ncumul_released
2021-08-20,ZG,ncumul_released
2021-09-03,ZG,ncumul_released
2021-10-01,ZG,ncumul_released
2021-10-04,SG,ncumul_deceased
2021-10-04,SG,ncumul_released
2021-10-22,ZG,ncumul_released
2021-10-24,ZG,ncumul_released
2021-11-05,ZG,ncumul_released
2021-11-07,ZG,ncumul_released
2021-11-12,ZG,ncumul_released
2022-02-17,UR,ncumul_deceased
